date,time_min,voltage_v,current_amps,power_watts,temp_c,press_atm,rh_%
2020-03-31_20-28-58,1.37,12.0,3.968,47.616,1.76,0.961,0.55157
2020-03-31_20-29-00,1.41,12.0,3.965,47.58,1.52,0.961,0.5519
2020-03-31_20-29-02,1.45,12.0,3.962,47.544,1.27,0.961,0.55184
2020-03-31_20-29-04,1.48,12.0,3.961,47.532,1.02,0.961,0.55173
2020-03-31_20-29-06,1.52,12.0,3.959,47.508,0.77,0.961,0.55161
2020-03-31_20-29-09,1.55,12.0,3.956,47.472,0.55,0.961,0.5515100000000001
2020-03-31_20-29-11,1.59,12.0,3.956,47.472,0.32,0.961,0.55141
2020-03-31_20-29-13,1.62,12.0,3.953,47.436,0.1,0.961,0.55158
2020-03-31_20-29-15,1.66,12.0,3.953,47.436,-0.13,0.961,0.55181
2020-03-31_20-29-17,1.69,12.0,3.953,47.436,-0.31,0.961,0.55237
2020-03-31_20-29-19,1.73,12.0,3.949,47.388,-0.5,0.961,0.5529999999999999
2020-03-31_20-29-21,1.76,12.0,3.949,47.388,-0.67,0.961,0.55351
2020-03-31_20-29-23,1.8,12.0,3.946,47.352,-0.85,0.961,0.55409
2020-03-31_20-29-25,1.83,12.0,3.944,47.328,-1.0,0.961,0.55472
2020-03-31_20-29-27,1.87,12.0,3.946,47.352,-1.18,0.961,0.5550200000000001
2020-03-31_20-29-30,1.9,12.0,3.943,47.316,-1.35,0.961,0.55521
2020-03-31_20-29-32,1.94,12.0,3.94,47.28,-1.48,0.961,0.55586
2020-03-31_20-29-34,1.97,12.0,3.94,47.28,-1.55,0.961,0.5574
2020-03-31_20-29-36,2.01,12.0,3.94,47.28,-1.71,0.961,0.5581900000000001
2020-03-31_20-29-38,2.04,12.0,3.937,47.244,-1.89,0.961,0.55837
2020-03-31_20-29-40,2.08,12.0,3.937,47.244,-2.05,0.961,0.55863
2020-03-31_20-29-42,2.11,12.0,3.937,47.244,-2.21,0.961,0.5587599999999999
2020-03-31_20-29-44,2.15,12.0,3.937,47.244,-2.36,0.961,0.55907
2020-03-31_20-29-46,2.18,12.0,3.934,47.208,-2.52,0.961,0.55921
2020-03-31_20-29-49,2.22,12.0,3.935,47.22,-2.66,0.961,0.55963
2020-03-31_20-29-51,2.25,12.0,3.932,47.184,-2.8,0.961,0.56005
2020-03-31_20-29-53,2.29,12.0,3.934,47.208,-2.91,0.961,0.56086
2020-03-31_20-29-55,2.32,12.0,3.931,47.172,-3.02,0.961,0.56135
2020-03-31_20-29-57,2.36,12.0,3.931,47.172,-3.14,0.961,0.56194
2020-03-31_20-29-59,2.39,12.0,3.928,47.136,-3.24,0.961,0.56232
2020-03-31_20-30-01,2.43,12.0,3.928,47.136,-3.35,0.961,0.5627
2020-03-31_20-30-03,2.46,12.0,3.929,47.148,-3.48,0.961,0.5630700000000001
2020-03-31_20-30-05,2.5,12.0,3.927,47.124,-3.59,0.961,0.56312
2020-03-31_20-30-08,2.53,12.0,3.928,47.136,-3.69,0.961,0.5636099999999999
2020-03-31_20-30-10,2.57,12.0,3.925,47.1,-3.82,0.961,0.5637599999999999
2020-03-31_20-30-12,2.61,12.0,3.925,47.1,-3.94,0.961,0.56386
2020-03-31_20-30-14,2.64,12.0,3.925,47.1,-4.07,0.961,0.56412
2020-03-31_20-30-16,2.68,12.0,3.925,47.1,-4.18,0.961,0.56434
2020-03-31_20-30-18,2.71,12.0,3.924,47.088,-4.27,0.961,0.5645
2020-03-31_20-30-20,2.75,12.0,3.925,47.1,-4.36,0.961,0.56511
2020-03-31_20-30-22,2.78,12.0,3.924,47.088,-4.44,0.961,0.5656
2020-03-31_20-30-24,2.82,12.0,3.925,47.1,-4.5,0.961,0.56601
2020-03-31_20-30-27,2.85,12.0,3.925,47.1,-4.5,0.961,0.56698
2020-03-31_20-30-29,2.89,12.0,3.925,47.1,-4.55,0.961,0.56733
2020-03-31_20-30-31,2.92,12.0,3.925,47.1,-4.58,0.961,0.56747
2020-03-31_20-30-33,2.96,12.0,3.925,47.1,-4.62,0.961,0.56762
2020-03-31_20-30-35,2.99,12.0,3.925,47.1,-4.67,0.961,0.56764
2020-03-31_20-30-37,3.03,12.0,3.925,47.1,-4.71,0.961,0.56767
2020-03-31_20-30-39,3.06,12.0,3.923,47.076,-4.75,0.961,0.56771
2020-03-31_20-30-41,3.1,12.0,3.922,47.064,-4.8,0.961,0.56779
2020-03-31_20-30-43,3.13,12.0,3.922,47.064,-4.84,0.961,0.56782
2020-03-31_20-30-45,3.17,12.0,3.922,47.064,-4.87,0.961,0.56808
2020-03-31_20-30-48,3.2,12.0,3.922,47.064,-4.89,0.961,0.5685
2020-03-31_20-30-50,3.24,12.0,3.919,47.028,-4.91,0.961,0.56892
2020-03-31_20-30-52,3.27,12.0,3.919,47.028,-4.97,0.961,0.56878
2020-03-31_20-30-54,3.31,12.0,3.919,47.028,-5.0,0.961,0.56893
2020-03-31_20-30-56,3.34,12.0,3.919,47.028,-5.05,0.961,0.56912
2020-03-31_20-30-58,3.38,12.0,3.919,47.028,-5.11,0.961,0.56882
2020-03-31_20-31-00,3.41,12.0,3.919,47.028,-5.18,0.961,0.56878
2020-03-31_20-31-02,3.45,12.0,3.919,47.028,-5.25,0.961,0.56874
2020-03-31_20-31-04,3.48,12.0,3.92,47.04,-5.29,0.961,0.56899
2020-03-31_20-31-07,3.52,12.0,3.919,47.028,-5.32,0.961,0.56919
2020-03-31_20-31-09,3.55,12.0,3.919,47.028,-5.37,0.961,0.56938
2020-03-31_20-31-11,3.59,12.0,3.921,47.052,-5.41,0.961,0.56947
2020-03-31_20-31-13,3.62,12.0,3.919,47.028,-5.45,0.961,0.5695
2020-03-31_20-31-15,3.66,12.0,3.918,47.016,-5.5,0.961,0.56985
