date,time_min,voltage_v,current_amps,power_watts,temp_c,press_atm,rh_%
2020-03-31_20-16-49,0.0,1.14,0.0,0.0,7.61,0.961,59.945
2020-03-31_20-16-52,0.04,9.1,2.993,27.236,7.89,0.961,60.121
2020-03-31_20-16-54,0.07,9.2,3.0,27.6,8.06,0.961,60.286
2020-03-31_20-16-56,0.11,9.28,3.0,27.84,8.18,0.961,60.398
2020-03-31_20-16-58,0.14,9.35,3.0,28.05,8.26,0.961,60.469
2020-03-31_20-17-00,0.18,9.4,3.0,28.2,8.28,0.961,60.52
2020-03-31_20-17-02,0.21,9.45,3.0,28.35,8.31,0.961,60.538
2020-03-31_20-17-04,0.25,9.51,3.0,28.53,8.32,0.961,60.544
2020-03-31_20-17-06,0.28,9.55,3.0,28.65,8.29,0.961,60.543
2020-03-31_20-17-08,0.32,12.0,3.86,46.32,8.29,0.961,60.548
2020-03-31_20-17-10,0.36,12.0,3.82,45.84,8.24,0.961,60.524
2020-03-31_20-17-13,0.39,12.0,3.789,45.468,8.19,0.961,60.499
2020-03-31_20-17-15,0.43,12.0,3.765,45.18,8.11,0.961,60.444
2020-03-31_20-17-17,0.46,12.0,3.747,44.964,8.04,0.961,60.424
2020-03-31_20-17-19,0.5,12.0,3.727,44.724,7.97,0.961,60.365
2020-03-31_20-17-21,0.53,12.8,4.0,51.2,7.89,0.961,60.304
2020-03-31_20-17-23,0.57,12.87,4.0,51.48,7.8,0.961,60.205
2020-03-31_20-17-25,0.6,12.18,4.0,48.72,7.79,0.961,60.155
2020-03-31_20-17-27,0.64,12.3,4.0,49.2,8.65,0.961,60.501
2020-03-31_20-17-29,0.67,12.35,4.0,49.4,9.18,0.961,60.897
2020-03-31_20-17-32,0.71,12.96,4.0,51.84,9.69,0.961,61.309
2020-03-31_20-17-34,0.74,12.45,4.0,49.8,10.14,0.961,61.719
2020-03-31_20-17-36,0.78,12.48,4.0,49.92,10.53,0.961,62.11
2020-03-31_20-17-38,0.81,12.38,4.0,49.52,10.91,0.961,62.517
2020-03-31_20-17-40,0.85,12.38,4.0,49.52,11.26,0.961,62.929
2020-03-31_20-17-42,0.88,12.38,4.0,49.52,11.58,0.961,63.384
2020-03-31_20-17-44,0.92,12.38,4.0,49.52,11.89,0.961,63.806
2020-03-31_20-17-46,0.95,12.38,4.0,49.52,11.5,0.959,63.66
2020-03-31_20-17-48,0.99,12.39,4.0,49.56,8.75,0.949,61.859
2020-03-31_20-17-51,1.02,12.39,4.0,49.56,7.57,0.945,61.17
2020-03-31_20-17-53,1.06,12.38,4.0,49.52,6.65,0.942,60.808
2020-03-31_20-17-55,1.09,12.38,4.0,49.52,5.83,0.939,60.624
2020-03-31_20-17-57,1.13,12.39,4.0,49.56,5.09,0.936,60.506
2020-03-31_20-17-59,1.16,12.38,4.0,49.52,4.44,0.934,60.437
2020-03-31_20-18-01,1.2,12.38,4.0,49.52,3.83,0.932,60.397
2020-03-31_20-18-03,1.23,12.38,4.0,49.52,3.31,0.93,60.374
2020-03-31_20-18-05,1.27,12.38,4.0,49.52,2.8,0.929,60.356
2020-03-31_20-18-07,1.3,12.36,4.0,49.44,2.36,0.927,60.331
2020-03-31_20-18-10,1.34,12.37,4.0,49.48,1.95,0.926,60.314
2020-03-31_20-18-12,1.37,12.37,4.0,49.48,1.56,0.924,60.297
2020-03-31_20-18-14,1.41,12.37,4.0,49.48,1.2,0.923,60.271
2020-03-31_20-18-16,1.44,12.36,4.0,49.44,0.85,0.922,60.235
2020-03-31_20-18-18,1.48,12.36,4.0,49.44,0.55,0.921,60.201
2020-03-31_20-18-20,1.51,12.36,4.0,49.44,0.25,0.92,60.167
2020-03-31_20-18-22,1.55,12.36,4.0,49.44,-0.04,0.919,60.129
2020-03-31_20-18-24,1.58,12.36,4.0,49.44,-0.31,0.918,60.087
2020-03-31_20-18-26,1.62,12.35,4.0,49.4,-0.55,0.917,60.04
2020-03-31_20-18-28,1.66,12.35,4.0,49.4,-0.8,0.916,60.004
2020-03-31_20-18-31,1.69,12.35,4.0,49.4,-1.02,0.916,59.97
2020-03-31_20-18-33,1.73,12.35,4.0,49.4,-1.23,0.915,59.925
2020-03-31_20-18-35,1.76,12.34,4.0,49.36,-1.44,0.914,59.885
2020-03-31_20-18-37,1.8,12.34,4.0,49.36,-1.63,0.914,59.842
2020-03-31_20-18-39,1.83,12.34,4.0,49.36,-1.81,0.913,59.81
2020-03-31_20-18-41,1.87,12.34,4.0,49.36,-1.98,0.912,59.767
2020-03-31_20-18-43,1.9,12.34,4.0,49.36,-2.15,0.912,59.714
2020-03-31_20-18-45,1.94,12.34,4.0,49.36,-2.31,0.911,59.678
2020-03-31_20-18-47,1.97,12.33,4.0,49.32,-2.46,0.911,59.637
2020-03-31_20-18-50,2.01,12.33,4.0,49.32,-2.61,0.91,59.584
2020-03-31_20-18-52,2.04,12.33,4.0,49.32,-2.78,0.91,59.559
2020-03-31_20-18-54,2.08,12.33,4.0,49.32,-2.91,0.909,59.508
2020-03-31_20-18-56,2.11,12.33,4.0,49.32,-3.05,0.909,59.473
2020-03-31_20-18-58,2.15,12.33,4.0,49.32,-3.18,0.908,59.427
2020-03-31_20-19-00,2.18,12.33,4.0,49.32,-3.29,0.908,59.383
2020-03-31_20-19-02,2.22,12.33,4.0,49.32,-3.43,0.907,59.326
