date,time_min,voltage_v,current_amps,power_watts,temp_c,press_atm,rh_%
2020-03-31_20-39-15,0.0,0.64,0.0,0.0,9.05,0.961,0.84101
2020-03-31_20-39-17,0.04,10.84,3.994,43.294,9.34,0.961,0.84165
2020-03-31_20-39-19,0.07,11.03,4.0,44.12,9.44,0.961,0.83869
2020-03-31_20-39-21,0.11,11.14,4.0,44.56,9.37,0.961,0.83172
2020-03-31_20-39-23,0.15,11.24,4.0,44.96,9.26,0.961,0.82241
2020-03-31_20-39-25,0.18,11.31,4.0,45.24,9.06,0.961,0.81027
2020-03-31_20-39-27,0.22,11.39,4.0,45.56,8.82,0.961,0.7977299999999999
2020-03-31_20-39-30,0.25,11.44,4.0,45.76,8.56,0.961,0.78452
2020-03-31_20-39-32,0.29,11.5,4.0,46.0,8.29,0.961,0.77176
2020-03-31_20-39-34,0.32,11.54,4.0,46.16,8.01,0.961,0.75944
2020-03-31_20-39-36,0.36,11.58,4.0,46.32,7.7,0.961,0.74789
2020-03-31_20-39-38,0.39,11.62,4.0,46.48,8.02,0.961,0.75128
2020-03-31_20-39-40,0.43,11.66,4.0,46.64,8.51,0.961,0.77396
2020-03-31_20-39-42,0.46,11.7,4.0,46.8,8.95,0.961,0.79719
2020-03-31_20-39-44,0.5,11.74,4.0,46.96,9.41,0.961,0.81732
2020-03-31_20-39-46,0.53,11.76,4.0,47.04,9.83,0.961,0.8337
2020-03-31_20-39-48,0.57,11.78,4.0,47.12,10.15,0.961,0.84521
2020-03-31_20-39-51,0.6,11.82,4.0,47.28,10.47,0.961,0.85299
2020-03-31_20-39-53,0.64,11.84,4.0,47.36,10.78,0.961,0.85875
2020-03-31_20-39-55,0.67,11.86,4.0,47.44,11.03,0.961,0.8631699999999999
2020-03-31_20-39-57,0.71,11.88,4.0,47.52,11.27,0.961,0.8664000000000001
2020-03-31_20-39-59,0.74,11.9,4.0,47.6,11.48,0.961,0.86883
2020-03-31_20-40-01,0.78,11.92,4.0,47.68,11.73,0.961,0.87129
2020-03-31_20-40-03,0.81,11.93,4.0,47.72,11.93,0.961,0.8732099999999999
2020-03-31_20-40-05,0.85,11.95,4.0,47.8,12.12,0.961,0.87488
2020-03-31_20-40-07,0.88,11.96,4.0,47.84,12.28,0.961,0.87606
2020-03-31_20-40-09,0.92,11.98,4.0,47.92,12.42,0.961,0.87685
2020-03-31_20-40-12,0.95,12.0,3.992,47.904,12.55,0.961,0.87767
2020-03-31_20-40-14,0.99,12.0,3.986,47.832,12.66,0.961,0.87802
2020-03-31_20-40-16,1.02,12.0,3.983,47.796,12.78,0.961,0.87816
2020-03-31_20-40-18,1.06,12.0,3.979,47.748,12.89,0.961,0.87834
2020-03-31_20-40-20,1.09,12.0,3.975,47.7,12.98,0.961,0.8782800000000001
2020-03-31_20-40-22,1.13,12.0,3.971,47.652,13.11,0.961,0.87819
2020-03-31_20-40-24,1.16,12.0,3.968,47.616,13.24,0.961,0.87834
2020-03-31_20-40-26,1.2,12.0,3.965,47.58,13.33,0.961,0.87765
2020-03-31_20-40-28,1.23,12.0,3.963,47.556,13.43,0.961,0.8767
2020-03-31_20-40-31,1.27,12.0,3.959,47.508,13.53,0.961,0.87625
2020-03-31_20-40-33,1.3,12.0,3.959,47.508,13.62,0.961,0.8748900000000001
2020-03-31_20-40-35,1.34,12.0,3.956,47.472,13.7,0.961,0.8731300000000001
2020-03-31_20-40-37,1.37,12.0,3.953,47.436,13.79,0.961,0.87024
2020-03-31_20-40-39,1.41,12.0,3.952,47.424,13.88,0.961,0.86724
2020-03-31_20-40-41,1.44,12.0,3.951,47.412,13.96,0.961,0.86441
2020-03-31_20-40-43,1.48,12.0,3.949,47.388,14.08,0.961,0.86307
2020-03-31_20-40-45,1.51,12.0,3.946,47.352,14.17,0.961,0.86086
2020-03-31_20-40-47,1.55,12.0,3.942,47.304,14.27,0.961,0.85962
2020-03-31_20-40-49,1.58,12.0,3.943,47.316,14.35,0.961,0.8575
2020-03-31_20-40-52,1.62,12.0,3.941,47.292,14.41,0.961,0.8544700000000001
2020-03-31_20-40-54,1.65,12.0,3.943,47.316,14.49,0.961,0.8514
2020-03-31_20-40-56,1.69,12.0,3.943,47.316,14.6,0.961,0.84954
2020-03-31_20-40-58,1.72,12.0,3.94,47.28,14.71,0.961,0.8473999999999999
2020-03-31_20-41-00,1.76,12.0,3.937,47.244,14.81,0.961,0.84232
2020-03-31_20-41-02,1.79,12.0,3.936,47.232,14.89,0.961,0.83788
2020-03-31_20-41-04,1.83,12.0,3.934,47.208,14.98,0.961,0.8318800000000001
2020-03-31_20-41-06,1.86,12.0,3.933,47.196,15.09,0.961,0.8266899999999999
2020-03-31_20-41-08,1.9,12.0,3.931,47.172,15.35,0.961,0.8244
2020-03-31_20-41-11,1.94,12.0,3.931,47.172,15.54,0.961,0.8245999999999999
2020-03-31_20-41-13,1.97,12.0,3.931,47.172,13.77,0.961,0.71934
2020-03-31_20-41-15,2.01,12.0,3.928,47.136,14.08,0.961,0.6371
2020-03-31_20-41-17,2.04,12.0,3.928,47.136,14.36,0.961,0.62886
2020-03-31_20-41-19,2.08,12.0,3.927,47.124,14.49,0.961,0.65352
2020-03-31_20-41-21,2.11,12.0,3.925,47.1,14.59,0.961,0.6895699999999999
2020-03-31_20-41-23,2.15,12.0,3.924,47.088,14.72,0.961,0.7217
2020-03-31_20-41-25,2.18,12.0,3.924,47.088,14.85,0.961,0.745
2020-03-31_20-41-27,2.22,12.0,3.922,47.064,14.97,0.961,0.7604500000000001
2020-03-31_20-41-30,2.25,12.0,3.919,47.028,15.07,0.961,0.77132
2020-03-31_20-41-32,2.29,12.0,3.922,47.064,15.16,0.961,0.77813
2020-03-31_20-41-34,2.32,12.0,3.922,47.064,15.24,0.961,0.78192
2020-03-31_20-41-36,2.36,12.0,3.921,47.052,15.31,0.961,0.78352
2020-03-31_20-41-38,2.39,12.0,3.919,47.028,15.4,0.961,0.7807200000000001
2020-03-31_20-41-40,2.43,12.0,3.919,47.028,15.47,0.961,0.77536
2020-03-31_20-41-42,2.46,12.0,3.919,47.028,15.54,0.961,0.77282
2020-03-31_20-41-44,2.5,12.0,3.919,47.028,15.61,0.961,0.76689
2020-03-31_20-41-46,2.53,12.0,3.919,47.028,15.66,0.961,0.76574
2020-03-31_20-41-49,2.57,12.0,3.916,46.992,15.71,0.961,0.76488
2020-03-31_20-41-51,2.6,12.0,3.916,46.992,15.76,0.961,0.7631699999999999
2020-03-31_20-41-53,2.64,12.0,3.916,46.992,15.81,0.961,0.7609999999999999
2020-03-31_20-41-55,2.67,12.0,3.916,46.992,15.86,0.961,0.7581600000000001
2020-03-31_20-41-57,2.71,12.0,3.916,46.992,15.9,0.961,0.75622
2020-03-31_20-41-59,2.74,12.0,3.916,46.992,15.93,0.961,0.75421
2020-03-31_20-42-01,2.78,12.0,3.916,46.992,15.97,0.961,0.7468899999999999
2020-03-31_20-42-03,2.81,12.0,3.916,46.992,16.0,0.961,0.7430599999999999
2020-03-31_20-42-05,2.85,12.0,3.913,46.956,16.04,0.961,0.7389600000000001
2020-03-31_20-42-08,2.88,12.0,3.913,46.956,16.07,0.961,0.73604
2020-03-31_20-42-10,2.92,12.0,3.913,46.956,16.09,0.961,0.73532
2020-03-31_20-42-12,2.95,12.0,3.913,46.956,16.12,0.961,0.7346699999999999
2020-03-31_20-42-14,2.99,12.0,3.913,46.956,16.15,0.961,0.73005
2020-03-31_20-42-16,3.02,12.0,3.913,46.956,16.17,0.961,0.7282599999999999
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
