date,time_min,voltage_v,current_amps,power_watts,temp_c,press_atm,rh_%
2020-03-31_20-14-07,0.0,0.18,0.0,0.0,14.89,0.961,62.176
2020-03-31_20-14-09,0.04,8.16,2.992,24.414,14.96,0.961,62.372
2020-03-31_20-14-11,0.08,8.29,3.0,24.87,14.94,0.961,62.507
2020-03-31_20-14-13,0.11,8.39,3.0,25.17,14.84,0.961,62.591
2020-03-31_20-14-15,0.15,8.47,3.0,25.41,14.67,0.961,62.638
2020-03-31_20-14-18,0.18,8.55,3.0,25.65,14.45,0.961,62.637
2020-03-31_20-14-20,0.22,8.62,3.0,25.86,14.2,0.961,62.607
2020-03-31_20-14-22,0.25,8.69,3.0,26.07,13.95,0.961,62.559
2020-03-31_20-14-24,0.29,8.75,3.0,26.25,13.67,0.961,62.481
2020-03-31_20-14-26,0.32,8.81,3.0,26.43,13.4,0.961,62.416
2020-03-31_20-14-28,0.36,8.86,3.0,26.58,13.1,0.961,62.303
2020-03-31_20-14-30,0.39,8.92,3.0,26.76,12.8,0.961,62.219
2020-03-31_20-14-32,0.43,8.97,3.0,26.91,12.5,0.961,62.113
2020-03-31_20-14-34,0.46,9.01,3.0,27.03,12.21,0.961,62.013
2020-03-31_20-14-37,0.5,9.05,3.0,27.15,11.9,0.961,61.895
2020-03-31_20-14-39,0.53,9.1,3.0,27.3,11.6,0.961,61.789
2020-03-31_20-14-41,0.57,9.14,3.0,27.42,11.31,0.961,61.678
2020-03-31_20-14-43,0.6,9.18,3.0,27.54,11.01,0.961,61.538
2020-03-31_20-14-45,0.64,9.22,3.0,27.66,10.72,0.961,61.427
2020-03-31_20-14-47,0.67,9.26,3.0,27.78,10.42,0.961,61.321
2020-03-31_20-14-49,0.71,9.29,3.0,27.87,10.13,0.961,61.205
2020-03-31_20-14-51,0.74,9.33,3.0,27.99,9.85,0.961,61.095
2020-03-31_20-14-53,0.78,9.36,3.0,28.08,9.56,0.961,60.979
2020-03-31_20-14-56,0.81,9.39,3.0,28.17,9.3,0.961,60.87
2020-03-31_20-14-58,0.85,9.42,3.0,28.26,9.03,0.961,60.738
2020-03-31_20-15-00,0.88,9.45,3.0,28.35,8.78,0.961,60.625
2020-03-31_20-15-02,0.92,9.48,3.0,28.44,8.53,0.961,60.494
2020-03-31_20-15-04,0.95,9.51,3.0,28.53,8.28,0.961,60.398
2020-03-31_20-15-06,0.99,9.53,3.0,28.59,8.05,0.961,60.274
2020-03-31_20-15-08,1.02,9.56,3.0,28.68,7.83,0.961,60.173
2020-03-31_20-15-10,1.06,9.58,3.0,28.74,7.61,0.961,60.057
2020-03-31_20-15-12,1.09,9.61,3.0,28.83,7.41,0.961,59.929
2020-03-31_20-15-15,1.13,9.64,3.0,28.92,7.21,0.961,59.83
2020-03-31_20-15-17,1.17,9.66,3.0,28.98,7.0,0.961,59.741
2020-03-31_20-15-19,1.2,9.68,3.0,29.04,7.0,0.961,59.686
2020-03-31_20-15-21,1.24,9.7,3.0,29.1,7.01,0.961,60.063
2020-03-31_20-15-23,1.27,9.72,3.0,29.16,7.0,0.961,60.357
2020-03-31_20-15-25,1.31,9.74,3.0,29.22,6.95,0.961,60.476
2020-03-31_20-15-27,1.34,9.76,3.0,29.28,6.86,0.961,60.465
2020-03-31_20-15-29,1.38,9.78,3.0,29.34,6.73,0.961,60.381
2020-03-31_20-15-31,1.41,9.8,3.0,29.4,6.63,0.961,60.259
2020-03-31_20-15-34,1.45,9.82,3.0,29.46,6.51,0.961,60.131
2020-03-31_20-15-36,1.48,9.84,3.0,29.52,6.38,0.961,59.991
2020-03-31_20-15-38,1.52,9.85,3.0,29.55,6.24,0.961,59.823
2020-03-31_20-15-40,1.55,9.87,3.0,29.61,6.13,0.961,59.673
2020-03-31_20-15-42,1.59,9.89,3.0,29.67,6.02,0.961,59.551
2020-03-31_20-15-44,1.62,9.9,3.0,29.7,5.91,0.961,59.418
2020-03-31_20-15-46,1.66,9.92,3.0,29.76,5.8,0.961,59.285
2020-03-31_20-15-48,1.69,9.93,3.0,29.79,5.7,0.961,59.153
2020-03-31_20-15-50,1.73,9.95,3.0,29.85,5.6,0.961,59.026
2020-03-31_20-15-53,1.76,9.96,3.0,29.88,5.51,0.961,58.9
2020-03-31_20-15-55,1.8,9.98,3.0,29.94,5.41,0.961,58.768
